meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M.   -- --- | damp:down section:7000 metro:q:80
 31   6  2.909 v5 s2 t=2979 n6_5Cs2t_10     C#2 t    -- --o | 
 32   6  2.992 v5 s2 t=3064 n6_5A2t_11      A2  t    -- --o | 
 33   6  3.075 v5 s2 t=3149 n6_5Fs1t_4      F#1 t    -- --o | 
 34   6  3.158 v5 s2 t=3234 n6_5Cs2t_11     C#2 t    -- --o | 
 35   6  3.241 v5 s2 t=3319 n6_5A2t_12      A2  t    -- --o | 
 36   6  3.324 v5 s2 t=3404 n6_5Cs2t_12     C#2 t    -- --o | 
 37   6  3.407 v5 s2 t=3489 n6_5Fs1s_3      F#1 s    -- --o | 
 38   6  3.574 v5 s2 t=3660 n6_5A2t_13      A2  t    -- --o | 
 39   6  3.657 v5 s2 t=3745 n6_5Cs2t_13     C#2 t    -- --o | 
 40   6  3.740 v5 s2 t=3830 n6_5A2t_14      A2  t    -- --o | 
 41   6  3.823 v5 s2 t=3915 n6_5Fs1t_5      F#1 t    -- --o | 
 42   6  3.906 v5 s2 t=4000 n6_5Cs2t_14     C#2 t    -- --o | 
 43   6  3.989 v5 s2 t=4085 n6_5A2t_15      A2  t    -- --o | 
 44   6  4.072 v5 s2 t=4170 n6_5Cs2t_15     C#2 t    -- --o | 
 45   6  4.155 v5 s2 t=4255 n6_5Fs1s_4      F#1 s    -- --o | 
 46   6  4.322 v5 s2 t=4426 n6_5A2t_16      A2  t    -- --o | 
 47   6  4.405 v5 s2 t=4511 n6_5Cs2t_16     C#2 t    -- --o | 
meas:7 6/4 ticks:4608
  0   7  0.000 v1 s1 t=0    re7_1RM         R   M    -- --- | damp:up
  1   7  0.000 v5 s2 t=0    re7_5RM         R   M    -- --- | 
meas:8 6/4 ticks:4608
  0   8  0.000 v1 s1 t=0    re8_1RM         R   M    -- --- | 
  1   8  0.000 v5 s2 t=0    re8_5RM         R   M    -- --- | 
meas:9 6/4 ticks:4608
  0   9  0.000 v1 s1 t=0    re9_1RM         R   M    -- --- | 
  1   9  0.000 v5 s2 t=0    re9_5RM         R   M    -- --- | 
meas:10 6/4 ticks:4608
  0  10  0.000 v1 s1 t=0    re10_1Rw        R   w    -- --- | 
  1  10  0.000 v5 s2 t=0    re10_5Rw        R   w    -- --- | 
  2  10  3.000 v1 s1 t=3072 re10_1Rq_0      R   q    -- --- | 
  3  10  3.000 v5 s2 t=3072 re10_5Rq        R   q    -- --- | 
  4  10  3.750 v1 s1 t=3840 re10_1Rq_1      R   q    -- --- | damp:down section:7003
  5  10  3.750 v5 s1 t=3840 n10_5A4t_0      A4  t    -- --o | d:ppp
  6  10  3.833 v5 s2 t=3925 n10_5C1t_0      C1  t    -- --o | d:ppp
  7  10  3.916 v5 s2 t=4010 n10_5Fs1t       F#1 t    -- --o | d:ppp
  8  10  3.999 v5 s1 t=4095 n10_5A4t_1      A4  t    -- --o | d:ppp
  9  10  4.082 v5 s2 t=4180 n10_5C1t_1      C1  t    -- --o | d:ppp
 10  10  4.165 v5 s2 t=4265 n10_5Fs1s       F#1 s    -- --o | d:ppp
 11  10  4.332 v5 s1 t=4436 n10_5A4t_2      A4  t    -- --o | d:ppp
 12  10  4.415 v5 s2 t=4521 n10_5Cs2t       C#2 t    -- --o | d:ppp
meas:11 6/4 ticks:4608
  0  11  0.000 v1 s1 t=0    re11_1Rh_0      R   h    -- --- | 
  1  11  0.000 v5 s1 t=0    n11_5A4t_0      A4  t    -- --o | d:ppp
  2  11  0.083 v5 s2 t=85   n11_5C1t_0      C1  t    -- --o | d:ppp
  3  11  0.166 v5 s2 t=170  n11_5Fs1t_0     F#1 t    -- --o | d:ppp
  4  11  0.249 v5 s1 t=255  n11_5A4t_1      A4  t    -- --o | d:ppp
  5  11  0.332 v5 s2 t=340  n11_5C1t_1      C1  t    -- --o | d:ppp
  6  11  0.415 v5 s2 t=425  n11_5Fs1s_0     F#1 s    -- --o | d:ppp
  7  11  0.582 v5 s1 t=596  n11_5A4t_2      A4  t    -- --o | d:ppp
  8  11  0.665 v5 s2 t=681  n11_5Cs2t_0     C#2 t    -- --o | d:ppp
  9  11  0.748 v5 s1 t=766  n11_5A4t_3      A4  t    -- --o | d:ppp
 10  11  0.831 v5 s2 t=851  n11_5C1t_2      C1  t    -- --o | d:ppp
