meas:1 6/4 ticks:4608
  0   1  0.000 v1 s1 t=0    re1_1RM         R   M    -- --- | metro:q:80
 24  13  3.827 v1 s1 t=3919 n13_1A5t_3      A5  t    -- --o | d:ppp
 25  13  3.902 v1 s1 t=3996 n13_1E6t_3      E6  t    -- --o | d:ppp
 26  13  3.978 v1 s2 t=4073 n13_1Fs3t_1     F#3 t    -- --o | d:ppp
 27  13  4.053 v1 s1 t=4150 n13_1Gs5t_0     G#5 t    tb --o | d:ppp
 28  13  4.128 v1 s1 t=4227 n13_1Gs5t_1     G#5 t    te --- | 
 29  13  4.203 v1 s1 t=4304 n13_1A5t_4      A5  t    -- --o | d:ppp
 30  13  4.278 v1 s2 t=4381 n13_1Fs3t_2     F#3 t    -- --o | d:ppp
 31  13  4.354 v1 s1 t=4458 n13_1A4s_1      A4  s    -- --o | d:ppp
meas:14 7/4 ticks:5376
  0  14  0.000 v1 s2 t=0    n14_1C2h        C2  h    -- --o | d:ppp
  1  14  0.000 v2 s1 t=0    re14_2Rh_0      R   h.   -- --- | 
  2  14  0.000 v5 s2 t=0    n14_5Bb2h       Bb2 h    -- --o | d:p
  3  14  0.000 v6 s2 t=0    re14_6Rh        R   h.   -- --- | 
  4  14  1.500 v1 s1 t=1536 re14_1Rh_0      R   h    -- --- | damp:up
  5  14  1.500 v5 s2 t=1536 n14_5C2t_0      C2  t    -- --o | d:f
  6  14  1.562 v5 s1 t=1600 n14_5A5t_0      A5  t    -- --o | d:f- damp:down
  7  14  1.625 v5 s1 t=1664 n14_5E6t_0      E6  t    -- --o | d:f-
  8  14  1.688 v5 s2 t=1728 n14_5C1t        C1  t.   -- --o | d:mf+
  9  14  1.781 v5 s1 t=1824 n14_5E6t_1      E6  t.   -- --o | d:mf+
 10  14  1.875 v5 s2 t=1920 n14_5C3t_0      C3  t    -- --o | d:mf
 11  14  1.938 v5 s1 t=1984 n14_5A5t_1      A5  t    -- --o | d:mf-
 12  14  2.000 v5 s1 t=2048 n14_5E6t_2      E6  t    -- --o | d:mf-
 13  14  2.062 v5 s2 t=2112 n14_5C2t_1      C2  t.   -- --o | d:mp+
 14  14  2.156 v5 s1 t=2208 n14_5E6t_3      E6  t.   -- --o | d:mp
 15  14  2.250 v2 s1 t=2304 re14_2Rq        R   q    -- --- | 
 16  14  2.250 v5 s2 t=2304 n14_5Fs3t_0     F#3 t    -- --o | d:mp-
 17  14  2.250 v6 s2 t=2304 re14_6Rq_0      R   q    -- --- | 
 18  14  2.312 v5 s1 t=2368 n14_5Gs5t_0     G#5 t    -- --o | d:mp-
 19  14  2.375 v5 s1 t=2432 n14_5A5t_2      A5  t    -- --o | d:p+
 20  14  2.438 v5 s2 t=2496 n14_5Fs3t_1     F#3 t    -- --o | d:p+
 21  14  2.500 v5 s1 t=2560 n14_5E6t_4      E6  t    -- --o | d:p
 22  14  2.562 v5 s1 t=2624 n14_5Gs5t_1     G#5 t    -- --o | d:p
 23  14  2.625 v5 s2 t=2688 n14_5C3t_1      C3  t    -- --o | d:p-
 24  14  2.688 v5 s1 t=2752 n14_5E6t_5      E6  t    -- --o | d:p-
 25  14  2.750 v5 s2 t=2816 n14_5Fs3t_2     F#3 t    -- --o | d:pp+
 26  14  2.812 v5 s1 t=2880 n14_5Gs5t_2     G#5 t    -- --o | d:pp+
